Transaction_ID,User_ID,Transaction_Amount,Transaction_Date,Transaction_Time,XGBoost_Risk_Score,LightGBM_Risk_Score
1001,68389745,69635000,2024-01-01 00:00:00,00:00:00,0.99999535,0.9999999999718931
1002,42122340,53486000,2024-01-01 00:01:00,00:01:00,0.999982,0.9999999999856244
1003,87539955,24262000,2024-01-01 00:02:00,00:02:00,0.99999166,0.9999999999955076
1004,98657863,56019000,2024-01-01 00:03:00,00:03:00,0.9999784,0.9999999999388554
1005,88084360,87823000,2024-01-01 00:04:00,00:04:00,0.99997044,0.9999999999800986
1006,16180175,86470000,2024-01-01 00:05:00,00:05:00,0.9999944,0.999999999988292
1007,36281390,61989000,2024-01-01 00:06:00,00:06:00,0.99998426,0.9999999999783133
1008,43569607,10491000,2024-01-01 00:07:00,00:07:00,0.99997854,0.9999999999849232
1009,44708256,71688000,2024-01-01 00:08:00,00:08:00,0.99998987,0.9999999999908837
1010,36188512,2122000,2024-01-01 00:09:00,00:09:00,0.999987,0.9999999999816171
1011,50279112,61253000,2024-01-01 00:10:00,00:10:00,0.99999154,0.9999999999882536
1012,70059875,62608000,2024-01-01 00:11:00,00:11:00,0.9999958,0.9999999999898026
1013,13126555,58334000,2024-01-01 00:12:00,00:12:00,0.99999,0.9999999999844276
1014,73136309,36195000,2024-01-01 00:13:00,00:13:00,0.9999913,0.9999999999815818
1015,81810094,12492000,2024-01-01 00:14:00,00:14:00,0.999995,0.9999999999961047
1016,30890737,25299000,2024-01-01 00:15:00,00:15:00,0.99998856,0.9999999999910814
1017,73301478,3373000,2024-01-01 00:16:00,00:16:00,0.9999757,0.9999999999377647
1018,45809504,86195000,2024-01-01 00:17:00,00:17:00,0.99998426,0.9999999999555536
1019,32955679,28124000,2024-01-01 00:18:00,00:18:00,0.9999845,0.9999999999811213
1020,41707566,82054000,2024-01-01 00:19:00,00:19:00,0.9999871,0.9999999999744058
1021,77304718,94240000,2024-01-01 00:20:00,00:20:00,0.9999894,0.9999999999819136
1022,57285937,74068000,2024-01-01 00:21:00,00:21:00,0.9999943,0.9999999999851814
1023,85846241,88842000,2024-01-01 00:22:00,00:22:00,0.9999912,0.9999999999922609
1024,70803717,3523000,2024-01-01 00:23:00,00:23:00,0.9999802,0.9999999999114888
1025,65039125,22309000,2024-01-01 00:24:00,00:24:00,0.99999404,0.9999999999966576
1026,29613235,83412000,2024-01-01 00:25:00,00:25:00,0.9999862,0.9999999999874034
1027,17328039,69025000,2024-01-01 00:26:00,00:26:00,0.9999964,0.9999999999912046
